0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",28540623,336617773,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",270631317,309728275,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,9025820,157772868,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(ii)Other securities,22780796,265440182,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(i) Debt,734845707,796183929,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(ii) Shares,165174756,278257095,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2373916,2632294,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(ii) To regulated financial institutions,78750332,88137003,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",4238,4456650,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(iv) To foreign governments,24687721,24687721,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(v) Lease receivables,14228373,30735922,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(vi) To individuals for non-business purposes,119253689,639988202,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,17927247,271714068,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,58530027,173367559,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(vii) Reverse repurchase agreements,589882499,826213885,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(viii) To individuals and others for business purposes,563388140,945722160,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,7122321,36345045,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,275176628,493544389,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(A) Insured,1606284,489792440,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,169644349,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(C) Uninsured,123015873,953514697,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(D) Reverse Mortgages,516142,4416509,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(ii) Non-residential,60654449,147258178,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",1495405,82128576,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",15309156,33478955,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(a) Insurance-related assets,296081,10140481,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(b) Accrued interest,5814204,12600457,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(c) Prepaid and deferred charges,1614879,6870523,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(d) Goodwill,37075862,51297480,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(i) with definite lives,5431203,16513552,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(ii) with indefinite lives,209221,5101712,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(f) Deferred tax assets,3577624,11067576,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(g) Derivatives related amounts,508838630,308413258,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,7429547,18523022,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(i) Interests in associates and joint ventures,18199029,20651125,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(j) Other,113050801,141789822,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
Total  Assets,3527702317,7020132322,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(a) Federal and Provincial,2389142,33250563,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(b) Municipal or School Corporations,177132,47945805,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(c) Deposit-taking institutions,19804969,60196102,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(i) Tax sheltered,6940191,117401366,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(ii) Other,554437683,1250076594,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(e) Other,614356924,1324957237,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(a) Federal and Provincial,591,6834338,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(b) Municipal or School Corporations,2798,6934254,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(c) Deposit-taking institutions,105934243,145001485,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(i) Tax-sheltered,115822,112705698,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(ii) Other,81421259,377823821,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(e) Others,876414152,1190151181,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
3. Cheques and other items in transit,13050008,8434677,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
4. Advances from the Bank of Canada,0,539,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
5. Acceptances,1496731,82564993,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
6. Other liabilities,6. Other liabilities,6. Other liabilities,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
"(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(i) Call and other short loans payable,190366,350609,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(ii) Other,26027846,26352572,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(b) Insurance-related liabilities,-90725,37794183,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(c) Accrued interest,3476136,11388163,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(d) Mortgages and loans payable,19292195,218055419,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(e) Income taxes,(e) Income taxes,(e) Income taxes,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(i) Current,906515,3053768,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(ii) Deferred,166838,1749427,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(f) Obligations related to borrowed securities,66705220,162894869,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(g) Obligations related to assets sold under repurchase agreements,513879052,804621786,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(h) Deferred income,1140693,5576376,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(i) Derivative related amounts,449573869,286616540,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(j) Due to Head Office and related Canadian regulated Financial Institutions,22935738,57643472,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(k) Other,123806930,199480956,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
7. Subordinated debt,9397498,45789305,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
8. Shareholders' equity,8. Shareholders' equity,8. Shareholders' equity,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(a) Preferred shares,0,32395608,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(b) Common shares,0,97887077,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(c) Contributed surplus,14450,1783836,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(d) Retained earnings,,237799495,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(e) Non-controlling interests,197773,2663465,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
(f) Accumulated Other Comprehensive Income (Loss),,21956743,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
Total liabilities and shareholders' equity,3514162039,7020132322,"Total All Banks, As At October 31, 2020, (in thousands of dollars), Total All Banks, As At October 31, 2020, (in thousands of dollars)"
